날짜,종가,오픈,고가,저가,변동 %
2020년 09월 11일,24.88,24.71,25.12,24.43,0.61%
2020년 09월 13일,25.23,25.16,25.3,24.96,1.41%
2020년 09월 14일,25.32,25.22,25.41,24.91,0.36%
2020년 09월 15일,26.21,25.31,26.25,25.2,3.52%
2020년 09월 16일,27.48,26.18,27.52,26.12,4.85%
2020년 09월 17일,41.14,27.45,41.48,27.04,49.71%
2020년 09월 18일,41.19,41.14,41.73,40.55,0.12%
2020년 09월 20일,41.07,41.17,41.2,40.81,-0.29%
2020년 09월 21일,39.98,41.08,41.52,38.92,-2.65%
2020년 09월 22일,39.77,39.97,40.3,39.25,-0.53%
2020년 09월 23일,39.41,39.77,40.77,39.22,-0.91%
2020년 09월 24일,40.4,39.48,40.44,39.38,2.51%
2020년 09월 25일,40.16,40.34,40.71,39.81,-0.59%
2020년 09월 27일,40.2,40.1,40.35,40.1,0.10%
2020년 09월 28일,40.7,40.2,40.88,39.88,1.24%
2020년 09월 29일,39.27,40.7,40.8,38.54,-3.51%
2020년 09월 30일,40.17,39.27,40.48,38.8,2.29%
2020년 10월 01일,38.66,40.16,40.59,37.79,-3.76%
2020년 10월 02일,37.2,38.63,38.75,36.8,-3.78%
2020년 10월 04일,37.48,37.24,37.52,37.2,0.75%
2020년 10월 05일,39.39,37.49,39.86,37.45,5.10%
2020년 10월 06일,40.01,39.42,41.02,39.28,1.57%
2020년 10월 07일,40.27,39.97,40.52,39.48,0.65%
2020년 10월 08일,41.45,40.25,41.69,39.98,2.93%
2020년 10월 09일,40.8,41.45,41.62,40.63,-1.57%
2020년 10월 11일,40.48,40.65,40.72,40.42,-0.78%
2020년 10월 12일,39.86,40.48,40.65,39.34,-1.53%
2020년 10월 13일,40.41,39.91,40.77,39.63,1.38%
2020년 10월 14일,41.48,40.45,41.56,40.12,2.65%
2020년 10월 15일,41.19,41.45,41.51,39.52,-0.70%
2020년 10월 16일,41.01,41.13,41.31,40.38,-0.44%
2020년 10월 18일,41.23,41.03,41.36,40.95,0.54%
2020년 10월 19일,40.95,41.23,41.47,40.8,-0.68%
2020년 10월 20일,41.47,40.92,41.92,40.53,1.27%
2020년 10월 21일,39.95,41.45,41.63,39.84,-3.67%
2020년 10월 22일,40.67,39.96,41.08,39.78,1.80%
2020년 10월 23일,39.8,40.63,40.98,39.66,-2.14%
2020년 10월 25일,39.31,39.59,39.6,39.02,-1.23%
2020년 10월 26일,38.75,39.3,39.45,38.39,-1.42%
2020년 10월 27일,38.99,38.73,39.94,38.63,0.62%
2020년 10월 28일,37.88,39,39.11,37.13,-2.85%
2020년 10월 29일,36.34,37.78,37.87,35.09,-4.07%
2020년 10월 30일,35.92,36.34,36.76,35.38,-1.16%
2020년 11월 01일,34.19,35.3,35.3,33.87,-4.82%
2020년 11월 02일,37.27,34.2,37.52,34.09,9.01%
2020년 11월 03일,38.62,37.27,38.9,36.77,3.62%
2020년 11월 04일,39.23,38.62,39.45,37.47,1.58%
2020년 11월 05일,38.66,39.17,39.56,38.5,-1.45%
2020년 11월 06일,37.7,38.66,38.73,37.3,-2.48%
2020년 11월 08일,38.05,37.67,38.17,37.45,0.93%
2020년 11월 09일,39.93,38.06,41.55,37.97,4.94%
2020년 11월 10일,41.88,39.92,42.48,39.68,4.88%
2020년 11월 11일,41.78,41.87,43.28,41.56,-0.24%
2020년 11월 12일,41,41.79,42.41,40.88,-1.87%
2020년 11월 13일,40.38,41.02,41.08,40.33,-1.51%
2020년 11월 15일,40.73,40.48,40.77,40.41,0.87%
2020년 11월 16일,41.62,40.74,42.33,40.64,2.19%
2020년 11월 17일,41.52,41.63,41.92,40.84,-0.24%
2020년 11월 18일,41.8,41.52,42.68,41.33,0.67%
2020년 11월 19일,41.69,41.77,42.16,41.31,-0.26%
2020년 11월 20일,42.48,41.71,42.57,41.69,1.89%
2020년 11월 22일,42.52,42.47,42.61,42.41,0.09%
2020년 11월 23일,43.22,42.52,43.38,42.34,1.65%
2020년 11월 24일,44.88,43.2,45.25,43.08,3.84%
2020년 11월 25일,45.86,44.88,46.29,44.8,2.18%
2020년 11월 26일,45.05,45.82,46.14,44.81,-1.77%
2020년 11월 27일,45.74,45.06,45.74,44.66,1.53%
2020년 11월 29일,45.24,45.3,45.44,44.88,-1.09%
2020년 11월 30일,45.29,45.25,45.88,44.52,0.11%
2020년 12월 01일,44.25,45.28,45.77,44.12,-2.30%
2020년 12월 02일,45,44.25,45.99,44.02,1.69%
2020년 12월 03일,45.79,44.98,45.92,44.78,1.76%
2020년 12월 04일,46.19,45.8,46.76,45.77,0.87%
2020년 12월 06일,46.17,46.27,46.36,46.17,-0.04%
2020년 12월 07일,45.75,46.16,46.64,45.48,-0.91%
2020년 12월 08일,45.66,45.75,46.05,45.28,-0.20%
2020년 12월 09일,45.84,45.67,46.38,45.11,0.39%
2020년 12월 10일,47.23,45.84,47.85,45.7,3.03%
2020년 12월 11일,46.7,47.23,47.44,46.51,-1.12%
2020년 12월 13일,46.82,46.81,46.97,46.73,0.26%
2020년 12월 14일,47.12,46.81,47.56,45.89,0.64%
2020년 12월 15일,47.71,47.12,47.88,46.72,1.25%
2020년 12월 16일,48.02,47.72,48.11,47.35,0.65%
2020년 12월 17일,48.55,48.02,48.8,48.02,1.10%
2020년 12월 18일,49.26,48.54,49.44,48.29,1.46%
2020년 12월 20일,48.6,49.32,49.32,48.51,-1.34%
2020년 12월 21일,47.83,48.59,48.61,46.28,-1.58%
2020년 12월 22일,46.89,47.8,47.91,46.58,-1.97%
2020년 12월 23일,48.09,46.89,48.53,46.2,2.56%
2020년 12월 24일,48.28,48.08,48.64,47.61,0.40%
2020년 12월 27일,47.93,48.25,48.25,47.58,-0.72%
2020년 12월 28일,47.87,47.92,49,47.61,-0.13%
2020년 12월 29일,47.94,47.87,48.41,47.62,0.15%
2020년 12월 30일,48.22,47.93,48.49,47.46,0.58%
2020년 12월 31일,48.27,48.23,48.39,47.62,0.10%
2021년 01월 03일,48.3,48.12,48.38,47.99,0.06%
2021년 01월 04일,47.28,48.31,49.7,47.06,-2.11%
2021년 01월 05일,49.66,47.27,50.06,47.22,5.03%
2021년 01월 06일,50.38,49.66,50.81,49.38,1.45%
2021년 01월 07일,50.84,50.37,51.16,50.28,0.91%
2021년 01월 08일,52.6,50.84,52.63,50.73,3.46%
2021년 01월 10일,52.22,52.52,52.62,52.14,-0.72%
2021년 01월 11일,52.03,52.23,52.31,51.44,-0.36%
2021년 01월 12일,53.3,52.05,53.34,52.01,2.44%
2021년 01월 13일,52.69,53.31,53.86,52.52,-1.14%
2021년 01월 14일,53.73,52.67,53.77,52.2,1.97%
2021년 01월 15일,52.01,53.74,53.77,51.8,-3.20%
2021년 01월 17일,52.12,51.98,52.3,51.98,0.21%
2021년 01월 18일,52.3,52.14,52.52,51.74,0.35%
2021년 01월 19일,53.12,52.3,53.14,52.16,1.57%
