날짜,종가,오픈,고가,저가,거래량,변동 %
2020년 12월 22일,"797,000","816,000","816,000","796,000",0.02K,-2.21%
2020년 12월 23일,"806,000","802,000","829,000","777,000",0.05K,1.13%
2020년 12월 24일,"818,000","810,000","822,000","802,000",270.39K,1.49%
2020년 12월 27일,"818,000","818,000","818,000","818,000",-,0.00%
2020년 12월 28일,"814,000","818,000","824,000","807,000",0.01K,-0.49%
2020년 12월 29일,"813,000","816,000","826,000","806,000",0.06K,-0.12%
2020년 12월 30일,"824,000","813,000","824,000","805,000",321.30K,1.35%
2021년 01월 04일,"889,000","824,000","900,000","824,000",0.64K,7.89%
2021년 01월 05일,"893,000","891,000","893,000","875,000",0.06K,0.45%
2021년 01월 06일,"890,000","907,000","912,000","883,000",0.03K,-0.34%
2021년 01월 07일,"962,000","910,000","969,000","896,000",0.01K,8.09%
2021년 01월 08일,"999,000","989,000","1,016,000","970,000",877.16K,3.85%
2021년 01월 10일,"999,000","999,000","999,000","999,000",-,0.00%
2021년 01월 11일,"998,000","1,012,000","1,044,000","981,000",0.28K,-0.10%
2021년 01월 12일,"962,000","985,000","994,000","936,000",0.43K,-3.61%
2021년 01월 13일,"1,000,000","966,000","1,001,000","963,000",0.19K,3.95%
2021년 01월 14일,"1,010,000","1,004,000","1,050,000","1,001,000",0.05K,1.00%
2021년 01월 15일,"979,000","1,015,000","1,025,000","975,000",442.30K,-3.07%
2021년 01월 17일,"979,000","979,000","979,000","979,000",-,0.00%
2021년 01월 18일,"964,000","958,000","990,000","943,000",0.12K,-1.53%
2021년 01월 19일,"997,000","985,000","1,003,000","974,000",0.06K,3.42%
2021년 01월 20일,"1,000,000","1,003,000","1,010,000","983,000",0.04K,0.30%
2021년 01월 21일,"988,000","1,012,000","1,019,000","988,000",0.01K,-1.20%
2021년 01월 22일,"975,000","986,000","990,000","975,000",385.93K,-1.32%
2021년 01월 24일,"975,000","975,000","975,000","975,000",-,0.00%
2021년 01월 25일,"990,000","990,000","991,000","972,000",297.65K,1.54%
2021년 01월 26일,"955,000","993,000","993,000","955,000",0.02K,-3.54%
2021년 01월 27일,"928,000","946,000","959,000","925,000",0.40K,-2.83%
2021년 01월 28일,"938,000","905,000","943,000","900,000",0.12K,1.08%
2021년 01월 29일,"917,000","955,000","960,000","913,000",621.76K,-2.24%
2021년 01월 31일,"917,000","917,000","917,000","917,000",-,0.00%
2021년 02월 01일,"950,000","923,000","950,000","905,000",0.07K,3.60%
2021년 02월 02일,"965,000","963,000","976,000","951,000",425.06K,1.58%
2021년 02월 03일,"999,000","979,000","1,000,000","972,000",0.12K,3.52%
2021년 02월 04일,"1,000,000","998,000","1,005,000","982,000",0.01K,0.10%
2021년 02월 05일,"1,028,000","1,009,000","1,043,000","1,005,000",520.64K,2.80%
2021년 02월 07일,"1,028,000","1,028,000","1,028,000","1,028,000",-,0.00%
2021년 02월 08일,"990,000","1,017,000","1,025,000","990,000",287.71K,-3.70%
2021년 02월 09일,"973,000","994,000","1,012,000","973,000",0.39K,-1.72%
2021년 02월 10일,"960,000","982,000","983,000","936,000",692.48K,-1.34%
2021년 02월 14일,"960,000","960,000","960,000","960,000",-,0.00%
2021년 02월 15일,"990,000","1,008,000","1,008,000","984,000",0.18K,3.13%
2021년 02월 16일,"978,000","992,000","992,000","973,000",0.14K,-1.21%
2021년 02월 17일,"957,000","985,000","986,000","955,000",0.16K,-2.15%
2021년 02월 18일,"939,000","953,000","960,000","939,000",0.25K,-1.88%
2021년 02월 19일,"941,000","939,000","956,000","938,000",253.07K,0.21%
2021년 02월 21일,"941,000","941,000","941,000","941,000",-,0.00%
2021년 02월 22일,"916,000","944,000","944,000","905,000",0.04K,-2.66%
2021년 02월 23일,"885,000","902,000","904,000","882,000",0.02K,-3.38%
2021년 02월 24일,"860,000","875,000","893,000","860,000",0.01K,-2.82%
2021년 02월 25일,"890,000","868,000","890,000","866,000",0.05K,3.49%
2021년 02월 26일,"831,000","865,000","867,000","825,000",640.16K,-6.63%
2021년 03월 02일,"891,000","862,000","905,000","858,000",0.08K,7.22%
2021년 03월 03일,"870,000","883,000","893,000","863,000",0.39K,-2.36%
2021년 03월 04일,"865,000","871,000","876,000","855,000",0.06K,-0.57%
2021년 03월 05일,"904,000","853,000","922,000","853,000",542.30K,4.51%
2021년 03월 07일,"904,000","904,000","904,000","904,000",-,0.00%
2021년 03월 08일,"890,000","912,000","914,000","889,000",0.00K,-1.55%
2021년 03월 09일,"861,000","888,000","890,000","850,000",434.81K,-3.26%
2021년 03월 10일,"891,000","910,000","914,000","886,000",0.10K,3.48%
2021년 03월 11일,"939,000","907,000","943,000","896,000",0.00K,5.39%
2021년 03월 12일,"944,000","962,000","963,000","940,000",253.12K,0.53%
2021년 03월 14일,"944,000","944,000","944,000","944,000",-,0.00%
2021년 03월 15일,"966,000","955,000","975,000","948,000",0.46K,2.33%
2021년 03월 16일,"891,000","917,000","925,000","885,000",0.18K,-7.76%
2021년 03월 17일,"857,000","881,000","881,000","843,000",0.20K,-3.82%
2021년 03월 18일,"861,000","866,000","875,000","857,000",0.02K,0.47%
2021년 03월 19일,"830,000","840,000","846,000","829,000",524.31K,-3.60%
2021년 03월 21일,"830,000","830,000","830,000","830,000",-,0.00%
2021년 03월 22일,"805,000","827,000","827,000","797,000",0.13K,-3.01%
2021년 03월 23일,"775,000","809,000","814,000","774,000",0.23K,-3.73%
2021년 03월 24일,"784,000","771,000","792,000","770,000",0.89K,1.16%
2021년 03월 25일,"788,000","800,000","805,000","782,000",0.03K,0.51%
2021년 03월 26일,"802,000","795,000","806,000","781,000",362.03K,1.78%
2021년 03월 28일,"802,000","802,000","802,000","802,000",-,0.00%
2021년 03월 29일,"799,000","806,000","811,000","791,000",0.15K,-0.37%
2021년 03월 30일,"808,000","802,000","816,000","788,000",370.78K,1.13%
2021년 03월 31일,"805,000","813,000","813,000","805,000",0.01K,-0.37%
2021년 04월 01일,"819,000","817,000","822,000","811,000",0.01K,1.74%
2021년 04월 02일,"828,000","830,000","833,000","822,000",282.67K,1.10%
2021년 04월 04일,"828,000","828,000","828,000","828,000",-,0.00%
2021년 04월 05일,"817,000","828,000","835,000","815,000",0.01K,-1.33%
2021년 04월 06일,"812,000","821,000","822,000","801,000",0.32K,-0.61%
2021년 04월 07일,"811,000","814,000","836,000","808,000",0.04K,-0.12%
2021년 04월 08일,"810,000","811,000","814,000","803,000",233.87K,-0.12%
