날짜,종가,오픈,고가,저가,거래량,변동 %
2020년 11월 12일,"158,500","156,000","159,500","153,500",0.03K,2.26%
2020년 11월 13일,"156,000","156,500","157,000","152,500",532.05K,-1.58%
2020년 11월 15일,"156,000","156,000","156,000","156,000",-,0.00%
2020년 11월 16일,"155,500","154,500","157,500","151,500",0.47K,-0.32%
2020년 11월 17일,"160,000","159,000","163,000","157,000",0.29K,2.89%
2020년 11월 18일,"156,500","155,500","159,000","155,500",1.62K,-2.19%
2020년 11월 19일,"154,000","156,000","156,000","152,000",0.14K,-1.60%
2020년 11월 20일,"154,000","154,500","156,500","153,000",371.31K,0.00%
2020년 11월 22일,"154,000","154,000","154,000","154,000",-,0.00%
2020년 11월 23일,"154,000","153,500","155,500","152,500",0.01K,0.00%
2020년 11월 24일,"160,000","157,500","160,000","156,000",0.00K,3.90%
2020년 11월 25일,"163,500","165,500","172,000","162,000",2.18M,2.19%
2020년 11월 26일,"175,000","166,000","175,000","161,500",1.88K,7.03%
2020년 11월 27일,"179,500","172,000","181,500","170,500",2.45M,2.57%
2020년 11월 29일,"179,500","179,500","179,500","179,500",-,0.00%
2020년 11월 30일,"173,000","182,000","184,500","173,000",1.75M,-3.62%
2020년 12월 01일,"182,500","176,000","183,000","175,000",1.43M,5.49%
2020년 12월 02일,"182,500","183,500","184,500","178,500",1.05M,0.00%
2020년 12월 03일,"180,000","182,500","182,500","177,000",0.09K,-1.37%
2020년 12월 04일,"177,500","181,000","183,000","175,000",1.09M,-1.39%
2020년 12월 06일,"177,500","177,500","177,500","177,500",-,0.00%
2020년 12월 07일,"178,500","179,500","180,500","174,500",0.06K,0.56%
2020년 12월 08일,"176,000","179,500","182,000","176,000",0.08K,-1.40%
2020년 12월 09일,"185,000","178,000","188,500","177,500",0.99K,5.11%
2020년 12월 10일,"190,500","181,500","193,500","178,500",0.00K,2.97%
2020년 12월 11일,"188,000","192,500","196,500","187,500",1.26M,-1.31%
2020년 12월 13일,"188,000","188,000","188,000","188,000",-,0.00%
2020년 12월 14일,"183,000","189,500","191,000","182,500",0.75K,-2.66%
2020년 12월 15일,"184,500","185,500","187,500","181,500",0.02K,0.82%
2020년 12월 16일,"189,000","187,000","189,500","184,000",0.02K,2.44%
2020년 12월 17일,"192,000","191,000","192,500","187,500",0.01K,1.59%
2020년 12월 18일,"188,500","193,000","193,500","188,000",537.18K,-1.82%
2020년 12월 20일,"188,500","188,500","188,500","188,500",-,0.00%
2020년 12월 21일,"187,500","188,500","190,000","184,500",0.25K,-0.53%
2020년 12월 22일,"182,000","185,500","187,000","180,500",0.39K,-2.93%
2020년 12월 23일,"180,500","183,000","183,500","178,000",0.05K,-0.82%
2020년 12월 24일,"180,500","181,000","182,500","179,500",488.39K,0.00%
2020년 12월 27일,"180,500","180,500","180,500","180,500",-,0.00%
2020년 12월 28일,"178,000","181,000","181,000","176,000",0.09K,-1.39%
2020년 12월 29일,"183,000","178,500","184,500","177,000",0.00K,2.81%
2020년 12월 30일,"190,000","183,500","190,500","179,500",969.55K,3.83%
2021년 01월 04일,"231,000","190,000","237,000","190,000",3.68K,21.58%
2021년 01월 05일,"244,000","228,500","251,000","227,000",0.32K,5.63%
2021년 01월 06일,"257,000","256,000","281,500","252,000",0.18K,5.33%
2021년 01월 07일,"263,000","267,500","269,000","256,500",0.00K,2.33%
2021년 01월 08일,"283,000","270,000","296,000","268,000",3.36M,7.60%
2021년 01월 10일,"283,000","283,000","283,000","283,000",-,0.00%
2021년 01월 11일,"294,000","291,000","318,500","281,500",0.80K,3.89%
2021년 01월 12일,"284,500","288,500","296,500","271,500",0.71K,-3.23%
2021년 01월 13일,"281,000","289,500","296,000","277,500",0.38K,-1.23%
2021년 01월 14일,"262,000","274,500","283,500","261,000",1.02K,-6.76%
2021년 01월 15일,"262,500","261,000","272,000","261,000",1.53M,0.19%
2021년 01월 17일,"262,500","262,500","262,500","262,500",-,0.00%
2021년 01월 18일,"252,500","258,000","262,000","247,500",0.28K,-3.81%
2021년 01월 19일,"270,000","254,000","273,000","248,000",0.44K,6.93%
2021년 01월 20일,"274,500","284,500","284,500","265,000",0.14K,1.67%
2021년 01월 21일,"276,000","280,000","282,000","274,500",0.04K,0.55%
2021년 01월 22일,"278,000","278,000","291,000","275,000",1.52M,0.72%
2021년 01월 24일,"278,000","278,000","278,000","278,000",-,0.00%
2021년 01월 25일,"286,500","278,000","289,000","277,500",0.20K,3.06%
2021년 01월 26일,"287,500","289,500","298,500","284,500",0.03K,0.35%
2021년 01월 27일,"281,000","293,000","297,500","278,500",0.12K,-2.26%
2021년 01월 28일,"276,500","272,500","278,000","270,000",0.19K,-1.60%
2021년 01월 29일,"280,000","285,000","294,000","271,000",3.00M,1.27%
